---- START ----

1200000|3|9910|69|1|0|0|480000|0|0|504284
1200000|3|9910|69|1|1|1|420000|0|0|371661
1200000|3|9910|69|1|2|2|900000|0|0|932330
1200000|3|9910|69|1|0|0|480000|1|11991|502253
1200000|3|9910|69|1|1|1|420000|1|11991|368548
1200000|3|9910|69|1|2|2|900000|1|11991|944749
1200000|3|9910|69|1|0|0|480000|2|23988|503610
1200000|3|9910|69|1|1|1|420000|2|23988|366368
1200000|3|9910|69|1|2|2|900000|2|23988|950282
1200000|3|9910|69|1|0|0|480000|3|35988|506394
1200000|3|9910|69|1|1|1|420000|3|35988|364449
1200000|3|9910|69|1|2|2|900000|3|35988|952211
1200000|3|9910|69|1|0|0|480000|4|47989|509145
1200000|3|9910|69|1|1|1|420000|4|47989|362436
1200000|3|9910|69|1|2|2|900000|4|47989|952708
1200000|3|9910|69|1|0|0|480000|5|59991|511724
1200000|3|9910|69|1|1|1|420000|5|59991|360102
1200000|3|9910|69|1|2|2|900000|5|59991|952127
1200000|3|9910|69|1|0|0|480000|6|71992|515090
1200000|3|9910|69|1|1|1|420000|6|71992|358786
1200000|3|9910|69|1|2|2|900000|6|71992|951681
1200000|3|9910|69|1|0|0|480000|7|83994|517997
1200000|3|9910|69|1|1|1|420000|7|83994|358255
1200000|3|9910|69|1|2|2|900000|7|83994|951143
1200000|3|9910|69|1|0|0|480000|8|95995|521281
1200000|3|9910|69|1|1|1|420000|8|95995|357639
1200000|3|9910|69|1|2|2|900000|8|95995|950736
1200000|3|9910|69|1|0|0|480000|9|107997|523573
1200000|3|9910|69|1|1|1|420000|9|107997|357476
1200000|3|9910|69|1|2|2|900000|9|107997|950079
1200000|3|9910|69|1|0|0|480000|10|119998|525832
1200000|3|9910|69|1|1|1|420000|10|119998|356777
1200000|3|9910|69|1|2|2|900000|10|119998|949263
1200000|3|9910|69|1|0|0|480000|11|132000|527509
1200000|3|9910|69|1|1|1|420000|11|132000|354690
1200000|3|9910|69|1|2|2|900000|11|132000|949216
1200000|3|9910|69|1|0|0|480000|12|144003|529071
1200000|3|9910|69|1|1|1|420000|12|144003|352516
1200000|3|9910|69|1|2|2|900000|12|144003|947950
1200000|3|9910|69|1|0|0|480000|13|156003|531035
1200000|3|9910|69|1|1|1|420000|13|156003|351247
1200000|3|9910|69|1|2|2|900000|13|156003|946634
1200000|3|9910|69|1|0|0|480000|14|168003|532351
1200000|3|9910|69|1|1|1|420000|14|168003|349644
1200000|3|9910|69|1|2|2|900000|14|168003|945569
1200000|3|9910|69|1|0|0|480000|15|180003|532839
1200000|3|9910|69|1|1|1|420000|15|180003|348704
1200000|3|9910|69|1|2|2|900000|15|180003|944462
1200000|3|9910|69|1|0|0|480000|16|192003|533704
1200000|3|9910|69|1|1|1|420000|16|192003|347800
1200000|3|9910|69|1|2|2|900000|16|192003|942743
1200000|3|9910|69|1|0|0|480000|17|204002|534479
1200000|3|9910|69|1|1|1|420000|17|204002|347679
1200000|3|9910|69|1|2|2|900000|17|204002|941756
1200000|3|9910|69|1|0|0|480000|18|216003|534770
1200000|3|9910|69|1|1|1|420000|18|216003|347718
1200000|3|9910|69|1|2|2|900000|18|216003|940654
1200000|3|9910|69|1|0|0|480000|19|228003|535832
1200000|3|9910|69|1|1|1|420000|19|228003|347557
1200000|3|9910|69|1|2|2|900000|19|228003|939332
1200000|3|9910|69|1|0|0|480000|20|240003|536328
1200000|3|9910|69|1|1|1|420000|20|240003|347143
1200000|3|9910|69|1|2|2|900000|20|240003|937124
1200000|3|9910|69|1|0|0|480000|21|252003|535873
1200000|3|9910|69|1|1|1|420000|21|252003|345057
1200000|3|9910|69|1|2|2|900000|21|252003|935524
1200000|3|9910|69|1|0|0|480000|22|264002|535098
1200000|3|9910|69|1|1|1|420000|22|264002|343327
1200000|3|9910|69|1|2|2|900000|22|264002|935072
1200000|3|9910|69|1|0|0|480000|23|276003|535176
1200000|3|9910|69|1|1|1|420000|23|276003|342063
1200000|3|9910|69|1|2|2|900000|23|276003|935524
1200000|3|9910|69|1|0|0|480000|24|288005|534770
1200000|3|9910|69|1|1|1|420000|24|288005|340788
1200000|3|9910|69|1|2|2|900000|24|288005|935776
1200000|3|9910|69|1|0|0|480000|25|300006|535012
1200000|3|9910|69|1|1|1|420000|25|300006|339767
1200000|3|9910|69|1|2|2|900000|25|300006|935932
1200000|3|9910|69|1|0|0|480000|26|312008|534975
1200000|3|9910|69|1|1|1|420000|26|312008|340133
1200000|3|9910|69|1|2|2|900000|26|312008|935809
1200000|3|9910|69|1|0|0|480000|27|324009|535135
1200000|3|9910|69|1|1|1|420000|27|324009|345217
1200000|3|9910|69|1|2|2|900000|27|324009|934704
1200000|3|9910|69|1|0|0|480000|28|336008|535016
1200000|3|9910|69|1|1|1|420000|28|336008|349725
1200000|3|9910|69|1|2|2|900000|28|336008|934583
1200000|3|9910|69|1|0|0|480000|29|348008|534643
1200000|3|9910|69|1|1|1|420000|29|348008|353952
1200000|3|9910|69|1|2|2|900000|29|348008|934456
1200000|3|9910|69|1|0|0|480000|30|360008|534073
1200000|3|9910|69|1|1|1|420000|30|360008|357477
1200000|3|9910|69|1|2|2|900000|30|360008|933926
1200000|3|9910|69|1|0|0|480000|31|372007|533577
1200000|3|9910|69|1|1|1|420000|31|372007|359857
1200000|3|9910|69|1|2|2|900000|31|372007|933637
1200000|3|9910|69|1|0|0|480000|32|384006|533417
1200000|3|9910|69|1|1|1|420000|32|384006|357187
1200000|3|9910|69|1|2|2|900000|32|384006|934421
1200000|3|9910|69|1|0|0|480000|33|396007|533659
1200000|3|9910|69|1|1|1|420000|33|396007|355469
1200000|3|9910|69|1|2|2|900000|33|396007|933880
1200000|3|9910|69|1|0|0|480000|34|408008|533417
1200000|3|9910|69|1|1|1|420000|34|408008|354195
1200000|3|9910|69|1|2|2|900000|34|408008|933556
1200000|3|9910|69|1|0|0|480000|35|420009|533495
1200000|3|9910|69|1|1|1|420000|35|420009|353257
1200000|3|9910|69|1|2|2|900000|35|420009|933104
1200000|3|9910|69|1|0|0|480000|36|432010|533909
1200000|3|9910|69|1|1|1|420000|36|432010|353824
1200000|3|9910|69|1|2|2|900000|36|432010|932778
1200000|3|9910|69|1|0|0|480000|37|444010|534766
1200000|3|9910|69|1|1|1|420000|37|444010|352764
1200000|3|9910|69|1|2|2|900000|37|444010|932076
1200000|3|9910|69|1|0|0|480000|38|456010|535221
1200000|3|9910|69|1|1|1|420000|38|456010|352103
1200000|3|9910|69|1|2|2|900000|38|456010|932164
1200000|3|9910|69|1|0|0|480000|39|468011|535094
1200000|3|9910|69|1|1|1|420000|39|468011|351164
1200000|3|9910|69|1|2|2|900000|39|468011|931959
1200000|3|9910|69|1|0|0|480000|40|480012|535098
1200000|3|9910|69|1|1|1|420000|40|480012|350629
1200000|3|9910|69|1|2|2|900000|40|480012|931176
1200000|3|9910|69|1|0|0|480000|41|492013|534356
1200000|3|9910|69|1|1|1|420000|41|492013|350508
1200000|3|9910|69|1|2|2|900000|41|492013|930931
1200000|3|9910|69|1|0|0|480000|42|504014|533745
1200000|3|9910|69|1|1|1|420000|42|504014|351940
1200000|3|9910|69|1|2|2|900000|42|504014|931264
1200000|3|9910|69|1|0|0|480000|43|516015|533331
1200000|3|9910|69|1|1|1|420000|43|516015|352311
1200000|3|9910|69|1|2|2|900000|43|516015|930891
1200000|3|9910|69|1|0|0|480000|44|528016|533171
1200000|3|9910|69|1|1|1|420000|44|528016|352882
1200000|3|9910|69|1|2|2|900000|44|528016|930851
1200000|3|9910|69|1|0|0|480000|45|540017|533167
1200000|3|9910|69|1|1|1|420000|45|540017|352846
1200000|3|9910|69|1|2|2|900000|45|540017|930726
1200000|3|9910|69|1|0|0|480000|46|552018|533130
1200000|3|9910|69|1|1|1|420000|46|552018|352310
1200000|3|9910|69|1|2|2|900000|46|552018|931345
1200000|3|9910|69|1|0|0|480000|47|564020|532921
1200000|3|9910|69|1|1|1|420000|47|564020|357109
1200000|3|9910|69|1|2|2|900000|47|564020|930397
1200000|3|9910|69|1|0|0|480000|48|576019|532802
1200000|3|9910|69|1|1|1|420000|48|576019|361656
1200000|3|9910|69|1|2|2|900000|48|576019|930075
1200000|3|9910|69|1|0|0|480000|49|588019|532757
1200000|3|9910|69|1|1|1|420000|49|588019|366170
1200000|3|9910|69|1|2|2|900000|49|588019|929738
1200000|3|9910|69|1|0|0|480000|50|600018|532310
1200000|3|9910|69|1|1|1|420000|50|600018|370883
1200000|3|9910|69|1|2|2|900000|50|600018|929459
1200000|3|9910|69|1|0|0|480000|51|612017|532101
1200000|3|9910|69|1|1|1|420000|51|612017|374903
1200000|3|9910|69|1|2|2|900000|51|612017|929660
1200000|3|9910|69|1|0|0|480000|52|624017|532146
1200000|3|9910|69|1|1|1|420000|52|624017|373753
1200000|3|9910|69|1|2|2|900000|52|624017|930156
1200000|3|9910|69|1|0|0|480000|53|636017|531691
1200000|3|9910|69|1|1|1|420000|53|636017|373794
1200000|3|9910|69|1|2|2|900000|53|636017|929165
1200000|3|9910|69|1|0|0|480000|54|648018|531121
1200000|3|9910|69|1|1|1|420000|54|648018|374080
1200000|3|9910|69|1|2|2|900000|54|648018|928350
