---- START ----

1200000|0|0|0|0|2|1199321
1200000|0|1|0|0|2|1199256
1200000|1|0|0|0|2|1083028
1200000|1|1|0|0|2|1061885
1200000|2|0|0|0|2|1127236
1200000|2|1|0|0|2|1116384
1200000|3|0|0|0|2|1176308
1200000|3|1|0|0|2|1152344
1200000|4|0|0|0|2|1107240
1200000|4|1|0|0|2|1083493
1200000|5|0|0|0|2|1123639
1200000|5|1|0|0|2|1108077
1200000|0|0|0|1|52909|1200176
1200000|0|1|0|1|52909|1200118
1200000|1|0|0|1|52909|1084890
1200000|1|1|0|1|52909|1062071
1200000|2|0|0|1|52909|1128006
1200000|2|1|0|1|52909|1116538
1200000|3|0|0|1|52909|1175618
1200000|3|1|0|1|52909|1152624
1200000|4|0|0|1|52909|1107334
1200000|4|1|0|1|52909|1083865
1200000|5|0|0|1|52909|1122896
1200000|5|1|0|1|52909|1107767
1200000|0|0|0|2|112400|1200023
1200000|0|1|0|2|112400|1199619
1200000|1|0|0|2|112400|1084889
1200000|1|1|0|2|112400|1062076
1200000|2|0|0|2|112400|1128228
1200000|2|1|0|2|112400|1116635
1200000|3|0|0|2|112400|1176495
1200000|3|1|0|2|112400|1153088
1200000|4|0|0|2|112400|1107795
1200000|4|1|0|2|112400|1083679
1200000|5|0|0|2|112400|1123018
1200000|5|1|0|2|112400|1108139
1200000|0|0|0|3|171902|1199341
1200000|0|1|0|3|171902|1200208
1200000|1|0|0|3|171902|1084853
1200000|1|1|0|3|171902|1062662
1200000|2|0|0|3|171902|1129033
1200000|2|1|0|3|171902|1116912
1200000|3|0|0|3|171902|1176774
1200000|3|1|0|3|171902|1152934
1200000|4|0|0|3|171902|1107644
1200000|4|1|0|3|171902|1084331
1200000|5|0|0|3|171902|1123206
1200000|5|1|0|3|171902|1108727
1200000|0|0|0|4|227689|1200208
1200000|0|1|0|4|227689|1200053
1200000|1|0|0|4|227689|1084765
1200000|1|1|0|4|227689|1062506
1200000|2|0|0|4|227689|1128287
1200000|2|1|0|4|227689|1116822
1200000|3|0|0|4|227689|1177144
1200000|3|1|0|4|227689|1153180
1200000|4|0|0|4|227689|1107604
1200000|4|1|0|4|227689|1084231
1200000|5|0|0|4|227689|1123234
1200000|5|1|0|4|227689|1108138
1200000|0|0|0|5|283496|1200084
1200000|0|1|0|5|283496|1199743
1200000|1|0|0|5|283496|1085200
1200000|1|1|0|5|283496|1062383
1200000|2|0|0|5|283496|1128783
1200000|2|1|0|5|283496|1117004
1200000|3|0|0|5|283496|1175906
1200000|3|1|0|5|283496|1153398
1200000|4|0|0|5|283496|1108541
1200000|4|1|0|5|283496|1083958
1200000|5|0|0|5|283496|1123383
1200000|5|1|0|5|283496|1108789
1200000|0|0|0|6|343031|1200265
1200000|0|1|0|6|343031|1199835
1200000|1|0|0|6|343031|1085880
1200000|1|1|0|6|343031|1062872
1200000|2|0|0|6|343031|1129309
1200000|2|1|0|6|343031|1116849
1200000|3|0|0|6|343031|1176832
1200000|3|1|0|6|343031|1153432
1200000|4|0|0|6|343031|1107427
1200000|4|1|0|6|343031|1084457
1200000|5|0|0|6|343031|1123235
1200000|5|1|0|6|343031|1108976
1200000|0|0|0|7|398833|1200638
1200000|0|1|0|7|398833|1199746
1200000|1|0|0|7|398833|1085161
1200000|1|1|0|7|398833|1063190
1200000|2|0|0|7|398833|1127793
1200000|2|1|0|7|398833|1117531
1200000|3|0|0|7|398833|1176245
1200000|3|1|0|7|398833|1154174
1200000|4|0|0|7|398833|1107458
1200000|4|1|0|7|398833|1084329
1200000|5|0|0|7|398833|1123485
1200000|5|1|0|7|398833|1108762
1200000|0|0|0|8|454655|1200301
1200000|0|1|0|8|454655|1200180
